file,benchmark,testrun,energy,totaltime,current,voltage,teststarttime,testendtime
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1__1.csv,1,1,1.0245771004921187,1.0499999999999972,0.2331712601046459,4.18485414676094,40.80199999999604,41.85199999999604
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1__2.csv,1,2,0.7991996929694849,1.0499999999999972,0.1819035842285083,4.184318676077833,31.752000000000407,32.802000000000405
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1__3.csv,1,3,1.2263868106430231,1.1400000000000006,0.2571206588402725,4.183941924095323,37.28800000000047,38.42800000000047
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1__4.csv,1,4,1.00727376421766,1.0599999999999987,0.2271137323652297,4.1840634568134565,29.6229999999996,30.68299999999959
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1__5.csv,1,5,1.0660310686765226,1.0499999999999972,0.2426623937849229,4.183869072657743,29.91399999999703,30.96399999999703
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1__6.csv,1,6,1.2133122276450898,1.1099999999999994,0.2612610345061421,4.183838898999091,29.485000000000586,30.59500000000058
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1__7.csv,1,7,1.173432410858218,1.0400000000000027,0.2696614510993267,4.184136777638192,30.210999999995693,31.25099999999569
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1__8.csv,1,8,0.978856126249492,1.0799999999999983,0.2166376301037316,4.183706517708141,72.78100000000268,73.86100000000268
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1__9.csv,1,9,1.130176834682173,1.0499999999999972,0.2572533992707466,4.184041467380908,36.52100000000064,37.57100000000064
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1__10.csv,1,10,1.327012157671517,1.1099999999999994,0.2857273950312099,4.184080592699674,34.73399999999674,35.84399999999674
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/10__1.csv,10,1,1.1967003980668596,1.0700000000000005,0.2672866797508749,4.184314714151827,45.775000000001455,46.845000000001455
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/10__2.csv,10,2,1.8360138678466944,1.099999999999998,0.39883576327879,4.184939440993789,30.59100000000035,31.691000000000347
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/10__3.csv,10,3,1.6119319857939287,1.1599999999999966,0.3321002729207672,4.184267984052696,27.82299999999668,28.98299999999668
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/10__4.csv,10,4,1.3698339112151483,1.0499999999999972,0.3117909818038332,4.184225333969466,39.086999999999534,40.13699999999953
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/10__5.csv,10,5,1.1753123468235496,1.0399999999999991,0.2701155053347103,4.183795463320463,31.320999999996275,32.360999999996274
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/10__6.csv,10,6,0.8807542394570753,1.0499999999999972,0.2004697888149971,4.184239262913523,42.75200000000041,43.802000000000405
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/10__7.csv,10,7,0.99835924124625,1.0500000000000045,0.227243586708441,4.184137113697062,32.330000000001746,33.38000000000175
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/10__9.csv,10,9,1.18688204341929,1.0600000000000025,0.267626980977962,4.183808511645522,35.45200000000477,36.512000000004775
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/10__10.csv,10,10,1.5010382472645736,1.1700000000000017,0.3066057259609339,4.184327180631868,32.65299999999843,33.82299999999843
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/100__1.csv,100,1,1.1681323153754148,1.0600000000000025,0.26337251294415,4.184231702692453,58.08599999999569,59.145999999995695
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/100__2.csv,100,2,1.5109853502930863,1.0700000000000005,0.3374751213350175,4.184414649024024,37.72499999999855,38.79499999999855
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/100__3.csv,100,3,1.2263377424955335,1.0500000000000045,0.2791409100618683,4.184054235832857,36.49500000000262,37.545000000002624
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/100__4.csv,100,4,1.211262795206614,1.0700000000000005,0.2705537853171999,4.18408969072165,29.148000000001048,30.218000000001048
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/100__5.csv,100,5,1.243512328508126,1.1299999999999957,0.263012753342949,4.184030523513754,34.10200000000623,35.232000000006224
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/100__6.csv,100,6,1.5172358018857477,1.1000000000000014,0.3296403256316071,4.184273485954031,29.63900000000285,30.739000000002854
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/100__7.csv,100,7,0.9900778837389438,1.0499999999999972,0.2253559947570319,4.184185643089899,45.21899999999732,46.26899999999732
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/100__9.csv,100,9,1.1856493864081976,1.0400000000000065,0.2724807366248901,4.183956271743333,35.61200000000099,36.652000000001
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/100__10.csv,100,10,1.5156492102631265,1.109999999999996,0.3263168183831306,4.1844295545092365,28.21700000000419,29.327000000004187
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1000__1.csv,1000,1,2.608901410284637,2.269999999999996,0.2746773214428555,4.184166968785922,40.11299999999756,42.38299999999755
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1000__2.csv,1000,2,3.3308612456157825,2.0600000000000023,0.3863950922092867,4.1846363149176655,35.387000000002445,37.44700000000245
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1000__3.csv,1000,3,2.6609299497633216,2.259999999999998,0.2813866935459096,4.184286818262569,28.41599999999744,30.67599999999744
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1000__4.csv,1000,4,2.5813597524477183,2.129999999999999,0.2896466304519382,4.184084534916596,29.18000000000029,31.31000000000029
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1000__5.csv,1000,5,2.576784538229292,2.1000000000000014,0.2932678866683277,4.184025295914472,37.0879999999961,39.1879999999961
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1000__6.csv,1000,6,3.489266173244123,2.210000000000001,0.3773339309165846,4.184234023749094,31.67500000000291,33.88500000000291
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1000__7.csv,1000,7,2.784952476000476,2.1599999999999966,0.3081093934310049,4.184649600074405,31.635999999998603,33.7959999999986
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1000__9.csv,1000,9,3.151351620558163,2.099999999999998,0.3586360940321403,4.184307307068588,29.310000000004948,31.410000000004946
/Users/greenali/Desktop/loopEnergy/Output/update/update_new/1000__10.csv,1000,10,2.569931124208828,2.1099999999999994,0.2910997833621008,4.184052705401293,29.538000000000466,31.648000000000465
