file,benchmark,testrun,energy,totaltime,current,voltage,teststarttime,testendtime
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1__1.csv,1,1,0.8823088986272539,1.0599999999999952,0.1988985482437846,4.184881653722296,44.542999999997846,45.60299999999784
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1__2.csv,1,2,1.2481785498137778,1.0600000000000025,0.2813777793578193,4.184861137485758,33.85399999999936,34.91399999999936
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1__3.csv,1,3,1.0900842791311296,1.0600000000000025,0.2457529877063016,4.18461401020987,31.081000000005588,32.14100000000559
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1__4.csv,1,4,1.4304017460977698,1.1600000000000037,0.2946865622365918,4.1844627870834055,33.124000000003434,34.28400000000344
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1__5.csv,1,5,1.0729538202886548,1.0799999999999983,0.2374181542486617,4.184497864834757,31.864999999997963,32.94499999999796
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1__6.csv,1,6,1.057547344632251,1.0600000000000025,0.2384171824357537,4.184623624810318,40.7809999999954,41.84099999999541
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1__7.csv,1,7,0.9465225068677804,1.0600000000000025,0.2133735865362961,4.184893621048647,43.15600000000268,44.21600000000268
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1__8.csv,1,8,1.4648331173307216,1.1400000000000006,0.3070540640531484,4.184739697076435,36.961999999999534,38.101999999999535
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1__9.csv,1,9,1.357814604286494,1.0900000000000034,0.2976834711313563,4.184651123181735,36.66400000000431,37.75400000000431
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1__10.csv,1,10,0.941402329803179,1.0400000000000027,0.216328831887693,4.184345378232343,30.209999999999127,31.24999999999913
