file,benchmark,testrun,energy,totaltime,current,voltage,teststarttime,testendtime
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p4//10000__3.csv,10000,3,2.279240743,1.51,0.360648183,4.18532805,38.41,39.92
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p4//10000__4.csv,10000,4,1.97536558,1.3,0.363089013,4.18495722,37.578,38.878
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p4//10000__5.csv,10000,5,1.750214377,1.04,0.402131359,4.184947033,36.406,37.446
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p4//10000__6.csv,10000,6,2.271746283,1.27,0.427365055,4.185593979,36.09,37.36
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p4//10000__7.csv,10000,7,2.651828681,1.27,0.498961178,4.184802686,34.301,35.571
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p4//10000__8.csv,10000,8,1.951775987,1.15,0.405554229,4.1848818,35.76,36.91
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p4//10000__9.csv,10000,9,1.970112699,1.19,0.395611662,4.184803054,35.772,36.962
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p4//10000__10.csv,10000,10,2.627694735,1.27,0.494395983,4.185007656,34.299,35.569
/Users/greenali/Desktop/loopEnergy/Output/read//100000__10.csv,100000,10,15.52856004,5.1,0.727529852,4.185141937,58.581,63.681
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//1000000__3.csv,1000000,1,185.7764788,43.35,1.023816265,4.185810859,50.574,93.924
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//1000000__6.csv,1000000,2,184.9869903,43.83,1.008368658,4.185529213,45.464,89.294
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//1000000__7.csv,1000000,3,185.415671,48.32,0.916848407,4.185255511,46.501,94.821
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//1000000__8.csv,1000000,4,183.7090927,43.73,1.003693664,4.1855255,45.12,88.85
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//1000000__9.csv,1000000,5,182.1208977,43.44,1.001702352,4.18534509,42.944,86.384
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//1000000__3.csv,1000000,6,185.7764788,43.35,1.023816265,4.185810859,50.574,93.924
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//1000000__6.csv,1000000,7,184.9869903,43.83,1.008368658,4.185529213,45.464,89.294
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//1000000__7.csv,1000000,8,185.415671,48.32,0.916848407,4.185255511,46.501,94.821
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//1000000__8.csv,1000000,9,183.7090927,43.73,1.003693664,4.1855255,45.12,88.85
